Layer,Kernel Shape,Output Shape,Params,Mult-Adds
204_transformer_08.wind_attn.Softmax_get_attention_scores,-,"[8192, 2, 64, 64]",,
205_transformer_08.wind_attn.Dropout_drop_1,-,"[8192, 2, 64, 64]",,
206_transformer_08.wind_attn.Linear_proj,"[32, 32]","[8192, 64, 32]",1056.0,1024.0
207_transformer_08.wind_attn.Dropout_drop_2,-,"[8192, 64, 32]",,
208_transformer_08.LayerNorm_layer_norm_2,[32],"[8192, 8, 8, 32]",64.0,32.0
209_transformer_08.leff.Linear_fc1,"[32, 32]","[8192, 8, 8, 32]",1056.0,1024.0
210_transformer_08.leff.GELU_act_1,-,"[8192, 8, 8, 32]",,
211_transformer_08.leff.Conv2d_conv,"[32, 32, 3, 3]","[8192, 32, 8, 8]",9248.0,589824.0
212_transformer_08.leff.GELU_act_2,-,"[8192, 32, 8, 8]",,
213_transformer_08.leff.Linear_fc2,"[32, 32]","[8192, 8, 8, 32]",1056.0,1024.0
214_transformer_8.LayerNorm_layer_norm_1,[32],"[8192, 64, 32]",64.0,32.0
215_transformer_8.wind_attn.qkv.Linear_get_qkv,"[32, 96]","[8192, 64, 96]",3168.0,3072.0
216_transformer_8.wind_attn.Softmax_get_attention_scores,-,"[8192, 2, 64, 64]",,
217_transformer_8.wind_attn.Dropout_drop_1,-,"[8192, 2, 64, 64]",,
218_transformer_8.wind_attn.Linear_proj,"[32, 32]","[8192, 64, 32]",1056.0,1024.0
219_transformer_8.wind_attn.Dropout_drop_2,-,"[8192, 64, 32]",,
220_transformer_8.LayerNorm_layer_norm_2,[32],"[8192, 8, 8, 32]",64.0,32.0
221_transformer_8.leff.Linear_fc1,"[32, 32]","[8192, 8, 8, 32]",1056.0,1024.0
222_transformer_8.leff.GELU_act_1,-,"[8192, 8, 8, 32]",,
223_transformer_8.leff.Conv2d_conv,"[32, 32, 3, 3]","[8192, 32, 8, 8]",9248.0,589824.0
224_transformer_8.leff.GELU_act_2,-,"[8192, 32, 8, 8]",,
225_transformer_8.leff.Linear_fc2,"[32, 32]","[8192, 8, 8, 32]",1056.0,1024.0
226_out_proj.Conv2d_restore_filter,"[32, 3, 3, 3]","[32, 3, 128, 128]",867.0,14155776.0
227_out_proj.LeakyReLU_proj_act,-,"[32, 3, 128, 128]",,
